cell_type,conf_score,proteins_used,top_10_avg_prot_tested,top_result,top_enrich,top_pval,top_adj_pval,top_tiss_result,top_tiss_enrich,top_tiss_pval,top_tiss_adj_pval,,,15 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,20 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,25 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval
PANCREAS acinar cells,60.24,48,36,PANCREAS - exocrine glandular cells,62.75,0.00049975,0.037481259,PANCREAS - exocrine glandular cells,62.75,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259
CONNECTIVE TISSUE adipocyte progenitor cells,25.3,23,5,PLACENTA - trophoblastic cells,55,0.107446277,1,ADIPOSE TISSUE - adipocytes,15,1,1,,,,0.107446277,1,1,1,,,,0.013993003,1,1,1,,,,0.004497751,0.332833583,0.143428286,1
CONNECTIVE TISSUE adipocytes,25.5,116,41,PLACENTA - trophoblastic cells,25.5,0.028985507,1,ADIPOSE TISSUE - adipocytes,24.25,0.0009995,0.083958021,,,,0.028985507,1,0.0009995,0.083958021,,,,0.087456272,1,0.00049975,0.04197901,,,,0.12093953,1,0.0009995,0.083958021
BRAIN adrenergic neurons,10.72,8,3.166666667,ADRENAL GLAND - medullary cells,67,0.030484758,1,CAUDATE - neuronal projections,17,1,1,,,,0.030484758,1,1,1,,,,0.113443278,1,1,1,,,,0.122938531,1,1,1
LUNG airway epithelial cells,5.36,4,3,ESOPHAGUS - squamous epithelial cells,67,0.034982509,1,LUNG - pneumocytes,41.25,1,1,,,,0.034982509,1,1,1,,,,0.04147926,1,1,1,,,,0.178410795,1,0.103448276,1
LUNG airway goblet cells,27.25,25,15,STOMACH - glandular cells,54.5,0.00049975,0.036981509,LUNG - pneumocytes,11.5,1,1,,,,0.00049975,0.036981509,1,1,,,,0.00049975,0.036981509,0.255372314,1,,,,0.00049975,0.036981509,0.030484758,1
SMOOTH MUSCLE airway smooth muscle cells,8,4,0,BREAST - myoepithelial cells,100,0.012493753,0.899550225,SMOOTH MUSCLE - smooth muscle cells,100,0.035482259,1,,,,0.012493753,0.899550225,0.035482259,1,,,,0.029485257,1,0.064467766,1,,,,0.03848076,1,0.090954523,1
PANCREAS alpha cells,34.8,48,19.83333333,PANCREAS - islets of Langerhans,36.25,0.00049975,0.042478761,PANCREAS - islets of Langerhans,36.25,0.00049975,0.042478761,,,,0.00049975,0.042478761,0.00049975,0.042478761,,,,0.00049975,0.046476762,0.00049975,0.046476762,,,,0.00049975,0.046476762,0.00049975,0.046476762
LUNG alveolar macrophages,20.7,23,11,LUNG - macrophages,45,0.011494253,1,LUNG - macrophages,45,0.011494253,1,,,,0.011494253,1,0.011494253,1,,,,0.005997001,0.527736132,0.005997001,0.527736132,,,,0.0009995,0.086956522,0.0009995,0.086956522
BRAIN anterior pituitary gland cells,35.31,33,13.16666667,PITUITARY GLAND - cells in anterior ,53.5,1,1,PITUITARY GLAND - cells in anterior ,53.5,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,1,1,1,1
BRAIN astrocytes,28.25,63,35,CEREBRAL CORTEX - glial cells,28.25,0.001999,0.167916042,CEREBRAL CORTEX - glial cells,28.25,0.001999,0.167916042,,,,0.001999,0.167916042,0.001999,0.167916042,,,,0.0009995,0.083958021,0.0009995,0.083958021,,,,0.00049975,0.042978511,0.00049975,0.042978511
IMMUNE SYSTEM b cells,59.5,89,51.5,TONSIL - non-germinal center cells,59.5,0.00049975,0.037481259,TONSIL - non-germinal center cells,59.5,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259
IMMUNE SYSTEM b cells memory,5.775,5,2.833333333,LYMPH NODE - non-germinal center cells,57.75,0.007996002,0.583708146,LYMPH NODE - non-germinal center cells,57.75,0.007996002,0.583708146,,,,0.007996002,0.583708146,0.007996002,0.583708146,,,,0.002498751,0.182408796,0.002498751,0.182408796,,,,0.002998501,0.218890555,0.002998501,0.218890555
IMMUNE SYSTEM basophils,11.6,20,6.833333333,CEREBELLUM - cells in molecular layer,29,1,1,TONSIL - squamous epithelial cells,10.5,1,1,,,,1,1,1,1,,,,0.214392804,1,1,1,,,,0.257371314,1,1,1
BRAIN bergmann glia,27.88,41,23,CEREBRAL CORTEX - neuropil,34,0.0009995,0.068965517,CEREBRAL CORTEX - neuropil,34,0.0009995,0.068965517,,,,0.0009995,0.068965517,0.0009995,0.068965517,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
PANCREAS beta cells,48.75,50,23,PANCREAS - islets of Langerhans,48.75,0.00049975,0.04147926,PANCREAS - islets of Langerhans,48.75,0.00049975,0.04147926,,,,0.00049975,0.04147926,0.00049975,0.04147926,,,,0.00049975,0.045477261,0.00049975,0.045477261,,,,0.00049975,0.045477261,0.00049975,0.045477261
BRAIN cajal-retzius cells,41.75,77,24,CEREBRAL CORTEX - neuronal cells,41.75,0.0009995,0.074962519,CEREBRAL CORTEX - neuronal cells,41.75,0.0009995,0.074962519,,,,0.0009995,0.074962519,0.0009995,0.074962519,,,,0.00149925,0.112443778,0.00149925,0.112443778,,,,0.002498751,0.187406297,0.002498751,0.187406297
HEART MUSCLE cardiac stem and precursor cells,14.22,18,7,HEART MUSCLE - myocytes,39.5,0.046976512,1,HEART MUSCLE - myocytes,39.5,0.046976512,1,,,,0.046976512,1,0.046976512,1,,,,0.001999,0.147926037,0.001999,0.147926037,,,,0.028485757,1,0.028485757,1
HEART MUSCLE cardiomyocytes,66,104,60,HEART MUSCLE - myocytes,66,0.00049975,0.03898051,HEART MUSCLE - myocytes,66,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051
LIVER cholangiocytes,50.82,42,30.83333333,GALLBLADDER - glandular cells,60.5,0.00049975,0.036981509,LIVER - bile duct cells,15,0.044977511,1,,,,0.00049975,0.036981509,0.044977511,1,,,,0.00049975,0.036981509,0.005997001,0.395802099,,,,0.00049975,0.036981509,0.00049975,0.036981509
BRAIN cholinergic neurons,4.69,7,3,SMALL INTESTINE - glandular cells,33.5,0.094452774,1,CEREBRAL CORTEX - neuronal cells,24.75,1,1,,,,0.094452774,1,1,1,,,,0.269365317,1,0.311844078,1,,,,0.376311844,1,0.342828586,1
CONNECTIVE TISSUE chondrocytes,26,51,23.5,TONSIL - squamous epithelial cells,26,1,1,SOFT TISSUE - chondrocytes,22,0.00049975,0.043478261,,,,1,1,0.00049975,0.043478261,,,,0.145427286,1,0.00049975,0.043478261,,,,0.250874563,1,0.001999,0.173913043
BRAIN choroid plexus cells,21.21,21,7,GALLBLADDER - glandular cells,50.5,0.16141929,1,CEREBRAL CORTEX - neuropil,32.5,0.437781109,1,,,,0.16141929,1,0.437781109,1,,,,0.289355322,1,1,1,,,,0.145927036,1,0.217391304,1
ADRENAL GLANDS chromaffin cells,16.125,25,11.33333333,ADRENAL GLAND - glandular cells,32.25,0.011994003,0.95952024,ADRENAL GLAND - glandular cells,32.25,0.011994003,0.95952024,,,,0.011994003,0.95952024,0.011994003,0.95952024,,,,0.009495252,0.797601199,0.009495252,0.797601199,,,,0.005997001,0.503748126,0.005997001,0.503748126
LUNG ciliated cells,28.2,15,7.833333333,BRONCHUS - respiratory epithelial cells,94,0.00049975,0.036981509,LUNG - macrophages,3,1,1,,,,0.00049975,0.036981509,1,1,,,,0.00049975,0.036981509,0.664167916,1,,,,0.00049975,0.036981509,0.381809095,1
LUNG clara cells,16.94,22,13,BRONCHUS - respiratory epithelial cells,38.5,0.197401299,1,LUNG - pneumocytes,34.25,0.0009995,0.073963018,,,,0.197401299,1,0.0009995,0.073963018,,,,0.035982009,1,0.0009995,0.073963018,,,,0.236381809,1,0.00049975,0.036981509
GI TRACT crypt cells,14.72,16,7,SMALL INTESTINE - glandular cells,46,1.1,1.1,SMALL INTESTINE - glandular cells,46,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,0.012493753,0.974512744,0.012493753,0.974512744
REPRODUCTIVE decidual cells,6.75,9,3.5,BONE MARROW - hematopoietic cells,37.5,0.045977011,1,OVARY - follicle cells,0,1,1,,,,0.045977011,1,1,1,,,,0.084957521,1,1,1,,,,0.117941029,1,0.663668166,1
PANCREAS delta cells,47.85,33,10,PANCREAS - islets of Langerhans,72.5,0.00049975,0.03948026,PANCREAS - islets of Langerhans,72.5,0.00049975,0.03948026,,,,0.00049975,0.03948026,0.00049975,0.03948026,,,,0.00049975,0.04147926,0.00049975,0.04147926,,,,0.00049975,0.04147926,0.00049975,0.04147926
IMMUNE SYSTEM dendritic cells,44.25,121,74.83333333,LYMPH NODE - non-germinal center cells,44.25,0.00049975,0.036981509,LYMPH NODE - non-germinal center cells,44.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
KIDNEY distal tubule cells,51.45,42,19.83333333,KIDNEY - cells in tubules,61.25,0.00049975,0.036981509,KIDNEY - cells in tubules,61.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
BRAIN dopaminergic neurons,11.55,21,6.666666667,CEREBELLUM - Purkinje cells,27.5,0.021489255,1,CEREBELLUM - Purkinje cells,27.5,0.021489255,1,,,,0.021489255,1,0.021489255,1,,,,0.035482259,1,0.035482259,1,,,,0.066966517,1,0.066966517,1
PANCREAS ductal cells,41.71,43,36,GALLBLADDER - glandular cells,48.5,0.00049975,0.036981509,PANCREAS - exocrine glandular cells,33.75,0.0009995,0.072963518,,,,0.00049975,0.036981509,0.0009995,0.072963518,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
ZYGOTE embryonic stem cells,39,83,39.66666667,NASOPHARYNX - respiratory epithelial cells,39,0.616691654,1,tissue not found,NA,NA,NA,,,,0.616691654,1,NA,NA,,,,0.264367816,1,NA,NA,,,,0.744627686,1,NA,NA
VASCULATURE endothelial cells,36.5,185,70.66666667,COLON - endothelial cells,36.5,0.00049975,0.03898051,tissue not found,NA,NA,NA,,,,0.00049975,0.03898051,NA,NA,,,,0.00049975,0.03898051,NA,NA,,,,0.00049975,0.03898051,NA,NA
VASCULATURE endothelial cells (aorta),34.25,89,23,PLACENTA - trophoblastic cells,34.25,0.025487256,1,COLON - endothelial cells,33.5,0.089955022,1,,,,0.025487256,1,0.089955022,1,,,,0.044477761,1,0.0009995,0.072963518,,,,0.004997501,0.394802599,0.00049975,0.04097951
VASCULATURE endothelial cells (blood brain barrier),10.56,16,6,SEMINAL VESICLE - glandular cells,33,1,1,CEREBRAL CORTEX - endothelial cells,21.25,1,1,,,,1,1,1,1,,,,0.274362819,1,0.005497251,0.406796602,,,,1,1,0.013493253,0.99850075
GI TRACT enteric glia cells,13.6,17,9.666666667,COLON - peripheral nerve/ganglion,40,1,1,COLON - peripheral nerve/ganglion,40,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,0.072963518,1,0.072963518,1
GI TRACT enteric neurons,14,16,4,CEREBELLUM - Purkinje cells,43.75,1,1,COLON - peripheral nerve/ganglion,18.75,1,1,,,,1,1,1,1,,,,0.207896052,1,0.115442279,1,,,,0.059470265,1,0.024487756,1
BLOOD erythroid-like and erythroid precursor cells,49.5,51,28,BONE MARROW - hematopoietic cells,49.5,0.00049975,0.036981509,BONE MARROW - hematopoietic cells,49.5,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
CONNECTIVE TISSUE erythroid-like and erythroid precursor cells,2,1,0,KIDNEY - cells in tubules,100,1.1,1.1,SOFT TISSUE - chondrocytes,100,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,1.1,1.1,1.1,1.1
CONNECTIVE TISSUE fibroblasts,42.57,43,23,PLACENTA - decidual cells,49.5,1,1,SOFT TISSUE - fibroblasts,33.5,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,0.07896052,1,0.002498751,0.192403798
THYROID follicular cells,17.36,14,8,THYROID GLAND - glandular cells,62,0.00049975,0.036981509,THYROID GLAND - glandular cells,62,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.0009995,0.073963018,0.0009995,0.073963018
GI TRACT foveolar cells,28.14,21,18,STOMACH - glandular cells,67,0.00049975,0.036981509,SMALL INTESTINE - glandular cells,35,0.644177911,1,,,,0.00049975,0.036981509,0.644177911,1,,,,0.00049975,0.036981509,0.074462769,1,,,,0.00049975,0.036981509,0.229885057,1
BRAIN gabaergic neurons,11.25,15,10,CEREBELLUM - Purkinje cells,37.5,0.002998501,0.242878561,CEREBELLUM - Purkinje cells,37.5,0.002998501,0.242878561,,,,0.002998501,0.242878561,0.002998501,0.242878561,,,,0.005997001,0.533733133,0.005997001,0.533733133,,,,0.008495752,0.764617691,0.008495752,0.764617691
PANCREAS gamma (pp) cells,21.6,27,10,PANCREAS - islets of Langerhans,40,0.0009995,0.08195902,PANCREAS - islets of Langerhans,40,0.0009995,0.08195902,,,,0.0009995,0.08195902,0.0009995,0.08195902,,,,0.00049975,0.044977511,0.00049975,0.044977511,,,,0.00049975,0.044977511,0.00049975,0.044977511
IMMUNE SYSTEM gamma delta t cells,50.895,39,25.5,BONE MARROW - hematopoietic cells,65.25,0.00049975,0.036981509,BONE MARROW - hematopoietic cells,65.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.002998501,0.206896552,0.002998501,0.206896552
GI TRACT gastric chief cells,12,10,5,PANCREAS - exocrine glandular cells,60,0.066966517,1,DUODENUM - glandular cells,50,1,1,,,,0.066966517,1,1,1,,,,0.095952024,1,1,1,,,,0.047476262,1,0.188905547,1
REPRODUCTIVE germ cells,17,143,69.66666667,BRONCHUS - respiratory epithelial cells,17,0.00049975,0.03998001,OVARY - follicle cells,2.25,0.002498751,0.189905047,,,,0.00049975,0.03998001,0.002498751,0.189905047,,,,0.00049975,0.03998001,0.00149925,0.113943028,,,,0.00049975,0.03998001,0.001999,0.153923038
NA glomus cells,15.96,28,12.66666667,COLON - peripheral nerve/ganglion,28.5,0.109445277,1,tissue not found,NA,NA,NA,,,,0.109445277,1,NA,NA,,,,0.006996502,0.531734133,NA,NA,,,,0.033983008,1,NA,NA
BRAIN glutaminergic neurons,9.3,10,6.833333333,CEREBRAL CORTEX - neuropil,46.5,0.011994003,0.887556222,CEREBRAL CORTEX - neuropil,46.5,0.011994003,0.887556222,,,,0.011994003,0.887556222,0.011994003,0.887556222,,,,0.04047976,1,0.04047976,1,,,,0.077461269,1,0.077461269,1
BRAIN glycinergic neurons,4,2,0,RETINA - nerve fibers in inner plexiform layer,100,0.203898051,1,CEREBRAL CORTEX - neuropil,50,0.127436282,1,,,,0.203898051,1,0.127436282,1,,,,0.1984008,1,0.140429785,1,,,,0.189405297,1,0.184907546,1
GI TRACT goblet cells,49.175,35,22,RECTUM - glandular cells,70.25,0.00049975,0.036981509,RECTUM - glandular cells,70.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
REPRODUCTIVE granulosa cells,14.96,16,8.5,PLACENTA - trophoblastic cells,46.75,0.00149925,0.116941529,OVARY - follicle cells,16.5,0.016991504,1,,,,0.00149925,0.116941529,0.016991504,1,,,,0.00149925,0.116941529,0.020989505,1,,,,0.00149925,0.116941529,0.055472264,1
BONE hematopoietic stem cells,35.5,88,39.83333333,KIDNEY - cells in tubules,35.5,0.72013993,1,BONE MARROW - hematopoietic cells,34.25,0.00049975,0.037481259,,,,0.72013993,1,0.00049975,0.037481259,,,,1,1,0.00049975,0.037481259,,,,1,1,0.00049975,0.037481259
LIVER hepatic stellate cells,32.625,45,17.66666667,SMOOTH MUSCLE - smooth muscle cells,36.25,0.00149925,0.110944528,LIVER - hepatocytes,11.75,0.392303848,1,,,,0.00149925,0.110944528,0.392303848,1,,,,0.006996502,0.503748126,0.156921539,1,,,,0.00149925,0.104947526,1,1
LIVER hepatoblasts,19.55,17,10,KIDNEY - cells in tubules,57.5,1.1,1.1,LIVER - hepatocytes,32.5,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,0.136431784,1,0.31834083,1,,,,0.031484258,1,0.140929535,1
LIVER hepatocytes,51.75,148,86.83333333,LIVER - hepatocytes,51.75,0.00049975,0.036981509,LIVER - hepatocytes,51.75,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
HEART MUSCLE his bundle cells,6,3,0,PLACENTA - trophoblastic cells,100,1.1,1.1,HEART MUSCLE - myocytes,0,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,0.113943028,1,1,1
BRAIN immature neurons,27.93,38,14,CEREBELLUM - cells in granular layer,36.75,0.00049975,0.03898051,CEREBELLUM - cells in granular layer,36.75,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.00049975,0.042978511,0.00049975,0.042978511,,,,0.0009995,0.085957021,0.0009995,0.085957021
KIDNEY intercalated cells,34,25,11,KIDNEY - cells in tubules,68,0.00049975,0.036981509,KIDNEY - cells in tubules,68,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
BRAIN interneurons,36.25,216,84.83333333,CEREBRAL CORTEX - neuronal cells,36.25,0.00049975,0.049975012,CEREBRAL CORTEX - neuronal cells,36.25,0.00049975,0.049975012,,,,0.00049975,0.049975012,0.00049975,0.049975012,,,,0.00049975,0.049975012,0.00049975,0.049975012,,,,0.00049975,0.049975012,0.00049975,0.049975012
LUNG ionocytes,6.875,11,4,BRONCHUS - respiratory epithelial cells,31.25,0.07996002,1,LUNG - macrophages,0,1,1,,,,0.07996002,1,1,1,,,,0.107446277,1,1,1,,,,0.229385307,1,0.622188906,1
KIDNEY juxtaglomerular cells,9,6,3.5,SMOOTH MUSCLE - smooth muscle cells,75,0.00149925,0.113943028,KIDNEY - cells in glomeruli,6.25,0.074462769,1,,,,0.00149925,0.113943028,0.074462769,1,,,,0.0009995,0.075962019,0.129435282,1,,,,0.003498251,0.269365317,0.210894553,1
SKIN keratinocytes,56.4,48,32,SKIN - epidermal cells,58.75,0.00049975,0.03898051,SKIN - epidermal cells,58.75,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051
KIDNEY kidney progenitor cells,9.625,7,4,EPIDIDYMIS - glandular cells,68.75,0.003998001,0.295852074,KIDNEY - cells in tubules,37.5,0.217891054,1,,,,0.003998001,0.295852074,0.217891054,1,,,,0.007496252,0.554722639,0.303348326,1,,,,0.003998001,0.295852074,0.156421789,1
LIVER kupffer cells,47.475,45,17.83333333,LUNG - macrophages,52.75,0.00049975,0.036981509,LIVER - hepatocytes,10.5,1,1,,,,0.00049975,0.036981509,1,1,,,,0.00049975,0.036981509,1,1,,,,0.00049975,0.036981509,0.711144428,1
SKIN langerhans cells,27.3,26,17,TONSIL - non-germinal center cells,52.5,0.0009995,0.070964518,SKIN - Langerhans,51.5,0.00049975,0.036981509,,,,0.0009995,0.070964518,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
REPRODUCTIVE leydig cells,36.75,54,16,ADRENAL GLAND - glandular cells,36.75,0.00049975,0.044977511,OVARY - follicle cells,4.5,0.374312844,1,,,,0.00049975,0.044977511,0.374312844,1,,,,0.001999,0.181909045,0.168915542,1,,,,0.009495252,0.864067966,0.610694653,1
KIDNEY loop of henle cells,45,53,17,KIDNEY - cells in tubules,45,0.00049975,0.036981509,KIDNEY - cells in tubules,45,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.001999,0.147926037,0.001999,0.147926037,,,,0.007996002,0.591704148,0.007996002,0.591704148
