cell_type,conf_score,proteins_used,top_10_avg_prot_tested,top_result,top_enrich,top_pval,top_adj_pval,top_tiss_result,top_tiss_enrich,top_tiss_pval,top_tiss_adj_pval,,,15 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,20 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,25 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval
MAMMARY GLAND luminal epithelial cells,53.04,48,30.33333333,NASOPHARYNX - respiratory epithelial cells,55.25,1,1,BREAST - glandular cells,38.75,0.001999,0.145927036,,,,1,1,0.001999,0.145927036,,,,0.003498251,0.24137931,0.00049975,0.036981509,,,,0.017491254,1,0.00049975,0.036981509
REPRODUCTIVE luteal cells,28.35,27,10,ADRENAL GLAND - glandular cells,52.5,0.042978511,1,OVARY - ovarian stroma cells,20,1,1,,,,0.042978511,1,1,1,,,,0.021489255,1,1,1,,,,0.122938531,1,1,1
IMMUNE SYSTEM macrophages,49.5,128,54.5,BONE MARROW - hematopoietic cells,49.5,0.00049975,0.036981509,BONE MARROW - hematopoietic cells,49.5,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
MAMMARY GLAND mammary epithelial cells,38.7,43,28,SALIVARY GLAND - glandular cells,45,0.253873063,1,BREAST - glandular cells,39,0.009495252,0.712143928,,,,0.253873063,1,0.009495252,0.712143928,,,,0.021989005,1,0.007996002,0.591704148,,,,0.00149925,0.110944528,0.005497251,0.40129935
IMMUNE SYSTEM mast cells,27.5,142,49,BONE MARROW - hematopoietic cells,27.5,0.00049975,0.03898051,BONE MARROW - hematopoietic cells,27.5,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.0009995,0.08095952,0.0009995,0.08095952,,,,0.00049975,0.04147926,0.00049975,0.04147926
IMMUNE SYSTEM megakaryocytes,44.88,48,27.83333333,BONE MARROW - hematopoietic cells,46.75,0.00049975,0.04147926,BONE MARROW - hematopoietic cells,46.75,0.00049975,0.04147926,,,,0.00049975,0.04147926,0.00049975,0.04147926,,,,0.00049975,0.04147926,0.00049975,0.04147926,,,,0.00049975,0.04147926,0.00049975,0.04147926
SKIN melanocytes,47.8,40,21.5,SKIN - melanocytes,59.75,0.00049975,0.046476762,SKIN - melanocytes,59.75,0.00049975,0.046476762,,,,0.00049975,0.046476762,0.00049975,0.046476762,,,,0.00049975,0.046476762,0.00049975,0.046476762,,,,0.00049975,0.046476762,0.00049975,0.046476762
BRAIN meningeal cells,8.1,18,10,BRONCHUS - respiratory epithelial cells,22.5,1,1,CEREBRAL CORTEX - endothelial cells,22.5,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,1,1,0.368815592,1
SKIN merkel cells,23.2,16,9,SMALL INTESTINE - glandular cells,72.5,0.099950025,1,SKIN - epidermal cells,22,1,1,,,,0.099950025,1,1,1,,,,0.025487256,1,1,1,,,,0.034482759,1,0.377811094,1
KIDNEY mesangial cells,33.75,57,24,KIDNEY - cells in glomeruli,33.75,0.00049975,0.037981009,KIDNEY - cells in glomeruli,33.75,0.00049975,0.037981009,,,,0.00049975,0.037981009,0.00049975,0.037981009,,,,0.00049975,0.037981009,0.00049975,0.037981009,,,,0.00049975,0.037981009,0.00049975,0.037981009
EPITHELIUM mesothelial cells,40.5,52,23.16666667,FALLOPIAN TUBE - glandular cells,40.5,0.020989505,1,tissue not found,NA,NA,NA,,,,0.020989505,1,NA,NA,,,,0.029985007,1,NA,NA,,,,0.007496252,0.547226387,NA,NA
GI TRACT microfold cells,30.15,30,19,GALLBLADDER - glandular cells,50.25,0.124437781,1,DUODENUM - glandular cells,34.25,1,1,,,,0.124437781,1,1,1,,,,0.262368816,1,1,1,,,,0.626186907,1,0.634682659,1
BRAIN microglia,51,71,34,BONE MARROW - hematopoietic cells,51,0.00049975,0.036981509,CEREBRAL CORTEX - neuronal cells,14.25,0.612693653,1,,,,0.00049975,0.036981509,0.612693653,1,,,,0.00049975,0.036981509,0.395802099,1,,,,0.00049975,0.036981509,0.354822589,1
IMMUNE SYSTEM monocytes,60.25,99,55,BONE MARROW - hematopoietic cells,60.25,0.00049975,0.036981509,BONE MARROW - hematopoietic cells,60.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
BRAIN motor neurons,4.42,13,5.166666667,COLON - peripheral nerve/ganglion,17,1,1,CAUDATE - glial cells,0,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,1,1,1,1
EYE mã¼ller cells,27.5,50,28,STOMACH - glandular cells,27.5,0.402298851,1,RETINA - cells in inner nuclear layer ,6,0.070964518,1,,,,0.402298851,1,0.070964518,1,,,,1,1,0.110444778,1,,,,0.146426787,1,0.100949525,1
IMMUNE SYSTEM myeloid-derived suppressor cells,21,15,10,BONE MARROW - hematopoietic cells,70,0.002998501,0.221889055,BONE MARROW - hematopoietic cells,70,0.002998501,0.221889055,,,,0.002998501,0.221889055,0.002998501,0.221889055,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
SKELETAL MUSCLE myoblasts,39.6,33,9.833333333,SKELETAL MUSCLE - myocytes,60,0.00049975,0.036981509,SKELETAL MUSCLE - myocytes,60,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
SKELETAL MUSCLE myocytes,54.75,88,54,SKELETAL MUSCLE - myocytes,54.75,0.00049975,0.036981509,SKELETAL MUSCLE - myocytes,54.75,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
SMOOTH MUSCLE myoepithelial cells,26.26,26,20.66666667,BREAST - myoepithelial cells,50.5,0.00049975,0.037481259,SMOOTH MUSCLE - smooth muscle cells,30,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.0009995,0.065967016
SMOOTH MUSCLE myofibroblasts,14.58,9,8,SMOOTH MUSCLE - smooth muscle cells,81,0.00049975,0.036981509,SMOOTH MUSCLE - smooth muscle cells,81,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.001999,0.147926037,0.001999,0.147926037,,,,0.001999,0.145927036,0.001999,0.145927036
IMMUNE SYSTEM natural killer t cells,27.255,23,14,TONSIL - non-germinal center cells,59.25,0.00049975,0.036981509,TONSIL - non-germinal center cells,59.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
BRAIN neural stem/precursor cells,33,57,18.83333333,CEREBRAL CORTEX - neuronal cells,33,0.626186907,1,CEREBRAL CORTEX - neuronal cells,33,0.626186907,1,,,,0.626186907,1,0.626186907,1,,,,1,1,1,1,,,,0.264867566,1,0.264867566,1
BRAIN neuroblasts,23.5,50,19,DUODENUM - glandular cells,23.5,1,1,CEREBRAL CORTEX - neuropil,22.75,0.116941529,1,,,,1,1,0.116941529,1,,,,0.603698151,1,0.148425787,1,,,,1,1,0.271364318,1
BRAIN neuroendocrine cells,24.3,27,10,CEREBRAL CORTEX - neuronal cells,45,0.00049975,0.04097951,CEREBRAL CORTEX - neuronal cells,45,0.00049975,0.04097951,,,,0.00049975,0.04097951,0.00049975,0.04097951,,,,0.00049975,0.04197901,0.00049975,0.04197901,,,,0.00149925,0.122938531,0.00149925,0.122938531
BRAIN neurons,45,200,82,CEREBRAL CORTEX - neuronal cells,45,0.00049975,0.045977011,CEREBRAL CORTEX - neuronal cells,45,0.00049975,0.045977011,,,,0.00049975,0.045977011,0.00049975,0.045977011,,,,0.00049975,0.048475762,0.00049975,0.048475762,,,,0.00049975,0.048475762,0.00049975,0.048475762
IMMUNE SYSTEM neutrophils,62.5,69,40,BONE MARROW - hematopoietic cells,62.5,0.00049975,0.036981509,BONE MARROW - hematopoietic cells,62.5,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051
IMMUNE SYSTEM nk cells,49.5,79,35,SPLEEN - cells in red pulp,49.5,0.00049975,0.036981509,TONSIL - non-germinal center cells,47.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
BRAIN noradrenergic neurons,9.6,8,2.166666667,ADRENAL GLAND - glandular cells,60,0.0009995,0.08095952,CAUDATE - neuronal projections,20,1,1,,,,0.0009995,0.08095952,1,1,,,,0.003998001,0.323838081,1,1,,,,0.017991004,1,1,1
IMMUNE SYSTEM nuocytes,13.5,12,4,URINARY BLADDER - urothelial cells,56.25,0.073963018,1,LYMPH NODE - non-germinal center cells,25,0.232883558,1,,,,0.073963018,1,0.232883558,1,,,,0.008495752,0.628685657,0.387806097,1,,,,0.007496252,0.554722639,0.138430785,1
OLFACTORY SYSTEM olfactory epithelial cells,49.75,131,34.66666667,FALLOPIAN TUBE - glandular cells,49.75,0.00049975,0.045977011,tissue not found,NA,NA,NA,,,,0.00049975,0.045977011,NA,NA,,,,0.00049975,0.045977011,NA,NA,,,,0.00049975,0.045977011,NA,NA
BRAIN oligodendrocyte progenitor cells,18.225,27,14,CEREBRAL CORTEX - neuropil,33.75,0.00049975,0.036981509,CEREBRAL CORTEX - neuropil,33.75,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
VASCULATURE oligodendrocyte progenitor cells,2,1,0,CAUDATE - glial cells,100,0.053473263,1,tissue not found,NA,NA,NA,,,,0.053473263,1,NA,NA,,,,0.08145927,1,NA,NA,,,,0.106946527,1,NA,NA
VASCULATURE pericytes,13.8,10,4,ENDOMETRIUM - glandular cells,69,0.002998501,0.218890555,tissue not found,NA,NA,NA,,,,0.002998501,0.218890555,NA,NA,,,,0.001999,0.145927036,NA,NA,,,,0.007996002,0.583708146,NA,NA
REPRODUCTIVE peritubular myoid cells,14.5,25,13,SMOOTH MUSCLE - smooth muscle cells,29,0.014492754,1,OVARY - ovarian stroma cells,6,0.030484758,1,,,,0.014492754,1,0.030484758,1,,,,0.054472764,1,0.060969515,1,,,,0.056971514,1,0.209395302,1
EYE photoreceptor cells,36,53,20.33333333,RETINA - cells in photoreceptor layer ,36,1,1,RETINA - cells in photoreceptor layer ,36,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,1,1,1,1
BRAIN pinealocytes,27.84,24,10.66666667,RETINA - cells in photoreceptor layer ,58,0.428785607,1,CAUDATE - neuronal cells,4,0.6001999,1,,,,0.428785607,1,0.6001999,1,,,,0.264867566,1,1,1,,,,0.260869565,1,0.691654173,1
IMMUNE SYSTEM plasma cells,44,67,38.5,TONSIL - non-germinal center cells,44,0.00049975,0.04047976,TONSIL - non-germinal center cells,44,0.00049975,0.04047976,,,,0.00049975,0.04047976,0.00049975,0.04047976,,,,0.00049975,0.04047976,0.00049975,0.04047976,,,,0.00049975,0.04047976,0.00049975,0.04047976
IMMUNE SYSTEM plasmacytoid dendritic cells,46.25,55,30,TONSIL - non-germinal center cells,46.25,0.00049975,0.03848076,TONSIL - non-germinal center cells,46.25,0.00049975,0.03848076,,,,0.00049975,0.03848076,0.00049975,0.03848076,,,,0.00049975,0.03848076,0.00049975,0.03848076,,,,0.00049975,0.03848076,0.00049975,0.03848076
BLOOD platelets,47.5,130,63.66666667,BONE MARROW - hematopoietic cells,47.5,0.00049975,0.037481259,BONE MARROW - hematopoietic cells,47.5,0.00049975,0.037481259,,,,0.00049975,0.037481259,0.00049975,0.037481259,,,,0.00049975,0.03948026,0.00049975,0.03948026,,,,0.00049975,0.03948026,0.00049975,0.03948026
NA pluripotent stem cells,12.6,20,11,TONSIL - non-germinal center cells,31.5,1,1,tissue not found,NA,NA,NA,,,,1,1,NA,NA,,,,0.229385307,1,NA,NA,,,,0.049975012,1,NA,NA
KIDNEY podocytes,47.5,94,32,KIDNEY - cells in glomeruli,47.5,0.00049975,0.04097951,KIDNEY - cells in glomeruli,47.5,0.00049975,0.04097951,,,,0.00049975,0.04097951,0.00049975,0.04097951,,,,0.00049975,0.04097951,0.00049975,0.04097951,,,,0.00049975,0.04097951,0.00049975,0.04097951
KIDNEY principal cells,41.79,42,23,KIDNEY - cells in tubules,49.75,0.0009995,0.072963518,KIDNEY - cells in tubules,49.75,0.0009995,0.072963518,,,,0.0009995,0.072963518,0.0009995,0.072963518,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.002498751,0.184907546,0.002498751,0.184907546
KIDNEY proximal tubule cells,70.5,76,53.83333333,KIDNEY - cells in tubules,70.5,0.00049975,0.042478761,KIDNEY - cells in tubules,70.5,0.00049975,0.042478761,,,,0.00049975,0.042478761,0.00049975,0.042478761,,,,0.00049975,0.042478761,0.00049975,0.042478761,,,,0.00049975,0.042478761,0.00049975,0.042478761
LUNG pulmonary alveolar type i cells,26.01,34,15,LUNG - pneumocytes,38.25,0.066466767,1,LUNG - pneumocytes,38.25,0.066466767,1,,,,0.066466767,1,0.066466767,1,,,,0.153423288,1,0.153423288,1,,,,0.016491754,1,0.016491754,1
LUNG pulmonary alveolar type ii cells,32.955,39,26.83333333,LUNG - pneumocytes,42.25,0.00049975,0.036981509,LUNG - pneumocytes,42.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.03898051,0.00049975,0.03898051
SMOOTH MUSCLE pulmonary vascular smooth muscle cells,4,2,0,SKIN - fibroblasts,100,1,1,SMOOTH MUSCLE - smooth muscle cells,0,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,0.056471764,1,1,1
HEART MUSCLE purkinje fiber cells,5.775,5,3,CAUDATE - neuronal cells,57.75,0.107946027,1,HEART MUSCLE - myocytes,0,1,1,,,,0.107946027,1,1,1,,,,0.145927036,1,1,1,,,,0.023988006,1,1,1
BRAIN purkinje neurons,39,59,32.5,CAUDATE - neuronal cells,39,0.00049975,0.042978511,CAUDATE - neuronal cells,39,0.00049975,0.042978511,,,,0.00049975,0.042978511,0.00049975,0.042978511,,,,0.00049975,0.044977511,0.00049975,0.044977511,,,,0.00049975,0.045977011,0.00049975,0.045977011
BRAIN pyramidal cells,28.875,35,20,HIPPOCAMPUS - neuronal cells,41.25,0.0009995,0.08195902,HIPPOCAMPUS - neuronal cells,41.25,0.0009995,0.08195902,,,,0.0009995,0.08195902,0.0009995,0.08195902,,,,0.00049975,0.04197901,0.00049975,0.04197901,,,,0.00049975,0.04197901,0.00049975,0.04197901
BRAIN radial glia cells,7.84,14,8,CAUDATE - glial cells,28,0.00149925,0.107946027,CAUDATE - glial cells,28,0.00149925,0.107946027,,,,0.00149925,0.107946027,0.00149925,0.107946027,,,,0.002998501,0.242878561,0.002998501,0.242878561,,,,0.002498751,0.204897551,0.002498751,0.204897551
IMMUNE SYSTEM red pulp macrophages,16.08,12,3,LUNG - macrophages,67,0.146926537,1,BONE MARROW - hematopoietic cells,49.5,0.04147926,1,,,,0.146926537,1,0.04147926,1,,,,0.237881059,1,0.065467266,1,,,,0.083958021,1,0.021989005,1
BLOOD reticulocytes,9,8,4,BONE MARROW - hematopoietic cells,56.25,1,1,BONE MARROW - hematopoietic cells,56.25,1,1,,,,1,1,1,1,,,,0.063968016,1,0.063968016,1,,,,0.104447776,1,0.104447776,1
BRAIN retinal ganglion cells,43.5,68,16.83333333,CEREBELLUM - Purkinje cells,43.5,0.031984008,1,CEREBELLUM - Purkinje cells,43.5,0.031984008,1,,,,0.031984008,1,0.031984008,1,,,,0.004997501,0.444777611,0.004997501,0.444777611,,,,0.002498751,0.222388806,0.002498751,0.222388806
EYE retinal progenitor cells,8.84,13,8,RECTUM - glandular cells,34,1,1,RETINA - cells in photoreceptor layer ,31,0.543728136,1,,,,1,1,0.543728136,1,,,,0.353323338,1,1,1,,,,0.098950525,1,0.658670665,1
ORAL CAVITY salivary mucous cells,9.31,7,6,BREAST - myoepithelial cells,66.5,0.00049975,0.036981509,tissue not found,NA,NA,NA,,,,0.00049975,0.036981509,NA,NA,,,,0.00049975,0.036981509,NA,NA,,,,0.00049975,0.036981509,NA,NA
SKELETAL MUSCLE satellite cells,34.615,43,19,NASOPHARYNX - respiratory epithelial cells,40.25,1,1,SKELETAL MUSCLE - myocytes,27,0.077961019,1,,,,1,1,0.077961019,1,,,,1,1,0.028485757,1,,,,0.656671664,1,0.100449775,1
BRAIN satellite glial cells,15.6,24,10,CAUDATE - glial cells,32.5,0.00049975,0.03998001,CAUDATE - glial cells,32.5,0.00049975,0.03998001,,,,0.00049975,0.03998001,0.00049975,0.03998001,,,,0.00049975,0.03998001,0.00049975,0.03998001,,,,0.0009995,0.07996002,0.0009995,0.07996002
BRAIN schwann cells,26.23,43,25.66666667,CAUDATE - glial cells,30.5,0.094952524,1,CAUDATE - glial cells,30.5,0.094952524,1,,,,0.094952524,1,0.094952524,1,,,,0.086956522,1,0.086956522,1,,,,0.00149925,0.11994003,0.00149925,0.11994003
IMMUNE SYSTEM schwann cells,2,1,0,CAUDATE - glial cells,100,0.052973513,1,BONE MARROW - hematopoietic cells,0,1,1,,,,0.052973513,1,1,1,,,,0.095452274,1,1,1,,,,0.108945527,1,1,1
IMMUNE SYSTEM t regulatory cells,11.69,14,3,LYMPH NODE - non-germinal center cells,41.75,0.009495252,0.693153423,LYMPH NODE - non-germinal center cells,41.75,0.009495252,0.693153423,,,,0.009495252,0.693153423,0.009495252,0.693153423,,,,0.012993503,0.948525737,0.012993503,0.948525737,,,,0.017491254,1,0.017491254,1
BRAIN tanycytes,17.5,25,10,CEREBRAL CORTEX - neuronal cells,35,0.036981509,1,CEREBRAL CORTEX - neuronal cells,35,0.036981509,1,,,,0.036981509,1,0.036981509,1,,,,0.07946027,1,0.07946027,1,,,,0.126936532,1,0.126936532,1
NA taste receptor cells,17.4,20,7,DUODENUM - glandular cells,43.5,0.313843078,1,tissue not found,NA,NA,NA,,,,0.313843078,1,NA,NA,,,,1,1,NA,NA,,,,0.659170415,1,NA,NA
THYMUS thymocytes,23.32,22,16,LYMPH NODE - non-germinal center cells,53,0.00049975,0.037481259,THYMUS - cortical cells,3,NA,NA,,,,0.00049975,0.037481259,NA,NA,,,,0.00049975,0.037481259,NA,NA,,,,0.00049975,0.037481259,NA,NA
KIDNEY transient cells,35.64,22,8,KIDNEY - cells in tubules,81,0.20089955,1,KIDNEY - cells in tubules,81,0.20089955,1,,,,0.20089955,1,0.20089955,1,,,,0.063968016,1,0.063968016,1,,,,0.013493253,0.971514243,0.013493253,0.971514243
SKIN trichocytes,9.6,6,4.333333333,HAIR - cells in cortex/medulla,80,0.033483258,1,SKIN - epidermal cells,5,1,1,,,,0.033483258,1,1,1,,,,0.03898051,1,1,1,,,,0.042478761,1,1,1
BRAIN trigeminal neurons,33.75,45,17.66666667,CEREBRAL CORTEX - neuropil,37.5,0.015492254,1,CEREBRAL CORTEX - neuropil,37.5,0.015492254,1,,,,0.015492254,1,0.015492254,1,,,,0.025487256,1,0.025487256,1,,,,0.0009995,0.074962519,0.0009995,0.074962519
EMBRYO trophoblast cells,33.17,31,16,PLACENTA - trophoblastic cells,53.5,0.00049975,0.042978511,tissue not found,NA,NA,NA,,,,0.00049975,0.042978511,NA,NA,,,,0.0009995,0.085957021,NA,NA,,,,0.00149925,0.128935532,NA,NA
EMBRYO trophoblast progenitor cells,3,3,2,PLACENTA - trophoblastic cells,50,0.055972014,1,tissue not found,NA,NA,NA,,,,0.055972014,1,NA,NA,,,,0.068965517,1,NA,NA,,,,0.018490755,1,NA,NA
EMBRYO trophoblast stem cells,2,1,0,SKIN - keratinocytes,100,1.1,1.1,tissue not found,NA,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,1.1,1.1,1.1,1.1,,,,0.087456272,1,NA,NA
GI TRACT tuft cells,25.08,33,16.83333333,DUODENUM - glandular cells,38,0.024487756,1,DUODENUM - glandular cells,38,0.024487756,1,,,,0.024487756,1,0.024487756,1,,,,0.07896052,1,0.07896052,1,,,,0.04147926,1,0.04147926,1
PLACENTA undefined placental cells,14.04,12,6,PLACENTA - trophoblastic cells,58.5,0.008995502,0.665667166,PLACENTA - trophoblastic cells,58.5,0.008995502,0.665667166,,,,0.008995502,0.665667166,0.008995502,0.665667166,,,,0.014492754,1,0.014492754,1,,,,0.006996502,0.517741129,0.006996502,0.517741129
URINARY BLADDER urothelial cells,12.76,11,6,URINARY BLADDER - urothelial cells,58,0.00049975,0.036981509,URINARY BLADDER - urothelial cells,58,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
SMOOTH MUSCLE vascular smooth muscle cells,10.5,6,4,BREAST - myoepithelial cells,87.5,0.00049975,0.036981509,SMOOTH MUSCLE - smooth muscle cells,62.5,0.0009995,0.070964518,,,,0.00049975,0.036981509,0.0009995,0.070964518,,,,0.00149925,0.107946027,0.005497251,0.390304848,,,,0.00049975,0.036981509,0.002998501,0.206896552
